Show,Character,Dialogue,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Physical,health,illness,wellness,mental,substances,sexual,food,death,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Blue Bloods,Sonny,"Jeez, kid, in those blues, you look just like your brother Joe.
Awful. I’m Sonny Malevsky. Joe was up in the 77th with us.
Hello to you too.
Anyway, I was just leaving. -- Be careful out there, kid.",1,38,36.67,99,70.28,20.23,5.43,10.53,76.32,71.05,60.53,18.42,15.79,5.26,2.63,7.89,0,0,2.63,7.89,2.63,2.63,18.42,10.53,13.16,0,0,15.79,5.26,0,5.26,2.63,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,39.47,18.42,13.16,0,0,2.63,5.26,0
Blue Bloods,Lt. Mannato,"Nine-year-old girl, Teresa Campos, didn’t come home from school -- St. Agnes up the block -- and the mother there got worried and went looking for her and the bodega owner told her he saw a couple young boys grab a pink backpack from the gutter here and run off with it.
Not yet.
This doll was found near where the backpack was. One of those ones you press it and it talks.
Anyway, the mother said she’d never seen it before.
Detective? I talk to you?
Woman there saw a white van pull away from the curb here really crazy.
Yeah, I know. She didn’t get the plates either, but she said it had a cracked back window.",1,117,48.38,69.89,48.76,11.52,10.64,5.98,76.07,75.21,55.56,14.53,8.55,1.71,0,1.71,5.13,0,5.98,16.24,10.26,1.71,10.26,5.13,7.69,6.84,3.42,19.66,5.98,2.56,1.71,0,0.85,1.71,0,0.85,0.85,0,0,0,0.85,0,0,0,0,0,0,0,0,21.37,7.69,4.27,1.71,0,2.56,5.13,0
Blue Bloods,Mr. Campos,She always comes home. She comes home every day. She knows her mother worries.,1,14,7.34,99,99,1,4.67,7.14,78.57,71.43,42.86,28.57,28.57,0,0,0,28.57,0,0,14.29,0,0,0,0,7.14,0,0,21.43,0,14.29,7.14,0,7.14,7.14,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,21.43,21.43,0,0,0,0,0,0
Blue Bloods,Mrs. Campos,"She’s a good girl!
Pablo is her father! There was no fight! Where is she? You have to find her!
My baby! Please, please help us!!!!!",1,26,1,99,1,79.29,3.71,0,76.92,65.38,61.54,26.92,26.92,3.85,3.85,3.85,15.38,0,0,19.23,3.85,0,3.85,19.23,7.69,0,3.85,26.92,0,0,11.54,7.69,3.85,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3.85,3.85,38.46,3.85,0,0
Blue Bloods,Professor,"Excuse me! My name is Professor Robert Jordan! I know where the missing little girl is!
She’s been transferred to Earth’s sister planet in the Andromeda Galaxy as of 22 hundred hours according to my last communique!",1,37,73.93,71.32,55.76,,9.25,18.92,56.76,54.05,43.24,10.81,10.81,8.11,0,0,2.7,0,0,13.51,5.41,5.41,13.51,10.81,2.7,2.7,0,16.22,2.7,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,10.81,5.41,0,0
Blue Bloods,Cop,"We’ll launch a rocket to check that out, sir.",1,9,89.52,99,77.17,,9,0,55.56,55.56,55.56,22.22,11.11,0,11.11,0,0,0,11.11,22.22,11.11,0,22.22,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,11.11,0,0,11.11,0,0
Blue Bloods,Iraqi Mother,My boy was sick! We were trying to get to the hospital!,1,12,73.36,98.75,1,1,6,8.33,91.67,83.33,58.33,16.67,16.67,8.33,8.33,0,0,0,0,16.67,8.33,0,16.67,16.67,0,0,0,33.33,8.33,0,8.33,0,8.33,8.33,0,8.33,0,0,0,0,16.67,16.67,16.67,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0
Blue Bloods,Spencer Frye,"Who is it?
Yeah...?
What are you doing? You can’t just barge in here.
What?
What doll?
You can’t take that! I’m not done with it yet!
I’m a reviewer for Doll World Magazine.
Y’know, you’re not supposed to bust into people’s places without a warrant! I’m gonna sue!",1,49,1,52.23,51.8,,4.45,12.24,77.55,77.55,71.43,30.61,18.37,6.12,0,10.2,0,0,12.24,6.12,4.08,0,14.29,24.49,8.16,0,8.16,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.94,10.2,2.04,10.2,8.16,16.33,0,0
Blue Bloods,Univision Reporter,"Chief Reagan, what do you say to blog allegations there’s a third fewer police than on the Allie Dintenfass Amber Alert on the Upper East Side last summer?",1,28,93.64,61.28,89.39,,28,7.14,60.71,60.71,46.43,7.14,3.57,0,0,3.57,0,0,3.57,17.86,10.71,3.57,14.29,7.14,3.57,3.57,0,10.71,17.86,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,0,3.57,3.57,0,3.57,0,0
Blue Bloods,Padma Lahari,"Then what’s your response to polls that show a boroughs-wide lack of faith in police by the Latino community and a slow and steady rise in crime there?
Then you’re saying that the mayor’s budgetary cutbacks aren’t affecting the department’s ability to keep all citizens of this city safe?",1,49,78.57,83.6,66.12,82.06,24.5,18.37,67.35,67.35,51.02,12.24,4.08,0,0,4.08,0,0,8.16,20.41,10.2,0,14.29,6.12,2.04,8.16,2.04,16.33,6.12,2.04,4.08,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,0,0,4.08,0,10.2,2.04,0
Blue Bloods,Sgt. Renzulli,"Y’know, I was also your brother Joe’s training officer when he was a new boot.
Good guy, your brother.
I hear you went to Harvard.
That right? So what are you doing on the beat? Seeing how the real people live? Writing a book?
You know, Harvard, that’s something we’re gonna have to find out.
Terrible thing about your brother. He was a great cop.
You got that right. ‘cause, you know, just ‘cause your old man’s the chief I’m not going to cut you any slack. You’re going to have to earn it just like everybody else.
Now, your brother Brian, on the other hand...
Harvard, I get the last word, okay?
That’s us.",1,115,11.83,99,27.24,46.5,7.19,11.3,76.52,74.78,58.26,26.09,18.26,3.48,1.74,11.3,1.74,0,7.83,16.52,6.96,0,9.57,11.3,7.83,2.61,0.87,25.22,7.83,0,3.48,2.61,0.87,1.74,0.87,0.87,0,0,0,0,1.74,0,0,0,0,0,0,0,0,33.04,11.3,8.7,4.35,0,6.96,1.74,0
Blue Bloods,Mrs. Banse,"Who is it?
Can I help you?
Yes, but he’s not here.
I don’t know.
We’re separated and I’m divorcing the bastard and I haven’t seen him in months. What is this about?
Has he done something wrong? What do you want him for?
Ronnie?
I sent him a box of his winter clothes a couple weeks ago.
The Lincoln Inn in Yonkers, but I don’t know if he’s still there.",1,71,1,24.95,61.43,20.23,6.45,9.86,88.73,84.51,70.42,30.99,23.94,8.45,1.41,2.82,9.86,0,7.04,8.45,5.63,0,7.04,18.31,7.04,7.04,5.63,25.35,1.41,4.23,4.23,1.41,1.41,0,0,0,0,0,0,1.41,1.41,0,0,0,0,0,0,0,0,28.17,7.04,2.82,8.45,0,9.86,0,0
Blue Bloods,Mayor,"Caught the news conference. Nice job.
You know, Mike, we gotta find this kid. Alive.
That better be good enough. I hear your boy is lead detective.
Think that’s wise, Mike? Could be exposing yourself to all kinds of scrutiny if it goes south. You’re popular with the public but I don’t have to tell you you don’t have a lot of friends in high places to back you up.
Well, maybe you should.
And another thing, that bit just now on TV about since you’ve been chief and the crime stats decreasing? There’s no future in that kind of grandstanding. Just ask your old man.",1,106,13.46,98.93,62.07,88.29,8.15,9.43,80.19,77.36,58.49,19.81,12.26,1.89,0.94,9.43,0,0,7.55,15.09,3.77,0,12.26,13.21,6.6,4.72,2.83,21.7,9.43,6.6,4.72,4.72,0,0.94,0.94,0,0,0,0,0,0.94,0.94,0,0,0,0,0,0,0,22.64,10.38,4.72,1.89,0,5.66,0,0
NCIS,Jaime,"Drop it! Now!
You can do that? Do it!
Container was empty when I got here.
No!
Everybody shut up!
Please!",1,21,1,67.92,97.09,1,2.63,9.52,85.71,80.95,71.43,28.57,9.52,4.76,0,4.76,0,0,19.05,9.52,0,0,4.76,19.05,14.29,4.76,4.76,23.81,4.76,4.76,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,4.76,0,4.76,28.57,0,0,0
NCIS,Meyer,"We speeding, Officer? Bad joke. Not everyday you get pulled over by a Navy cruiser.
Below deck. I’m James Meyer, first mate. What can I do you for?
He’s a little busy captaining right now. He’ll be up soon. Maybe I can help.
Sure. Inclement weather ahead, we’re trying to avoid it.
Comm’s on the fritz. That’s what the captain’s working on.
Yeah...I’m sorry. Feel like we’re not on the same page. What’s this about?
He in some kind of trouble?
Holy crap.
Skipper gonna be okay?
I can’t believe this is happening.
Skipper doesn’t have problems. Everyone loves him.
Holy crap.
Willis was drowned in the head?
We need to speak. Alone.
Holy--
I have no--
Renaldo? He’s--
Twenty.
I think six or seven...
He told us to be quiet.
Mess Deck...all right? Now let’s just...
She’s bleeding, man. Can’t stop it.
By threatening to shoot her?
Come on, man! Let go of--
We heard that gunshot before. We were sure you were dead.
They took her right after Aranda grabbed you.",1,175,15.92,88.7,21.19,36.57,4.49,12.57,82.29,76,58.29,22.86,16.57,4,4.57,2.29,5.14,0.57,6.29,10.86,3.43,2.29,14.29,15.43,4,1.71,3.43,25.14,9.14,3.43,6.86,3.43,2.29,1.14,0.57,0.57,0,0,0,1.14,4,0.57,0.57,0,0,0,0,0,1.14,44.57,22.29,2.86,5.14,0.57,9.14,4.57,0
NCIS,Aranda,"Don’t answer.
Can’t think! Turn it down!
No talking!
I said shut up!
What the hell are you doing!
No talking!
I can.
Who says it’s a threat?
He’s gone. Now it’s me.
Attention, USS Serano... This is the San Dominick...
We want ten million dollars in unmarked bills delivered in one
hour’s time. Or we will shoot a hostage and toss them overboard.
Now, you have fifty-nine minutes.
You have the money?
You’re stalling and it won’t work.
I don’t need a boat. This isn’t a negotiation, it’s a demand. Blood’s on your hands now.
On your feet.
Get up now!
Wanna take her place?
Now you have the money?
Unbelievable! Still stalling. Still trying to trick me. The only way 
you’ll take me seriously is with a bullet.
You and how many snipers?
I’m supposed to believe you?
You’re wrong, though. Your man’s going to be hurt.
And I’m making an example of him.
Enough. Say goodbye.
Now. Because I have the power. And you people only respect power.
So I’m going to use that power and--
That’s all you’re gonna do?
I’m okay. Stay where you are. Understood?
I don’t know--
Vilandro was the real leader. Outfitted us. Got us fake papers.
Take the boat out of port. Contact the shipping company for ransom...
We get our money and an escape boat meets us. Simple. Clean.
Vilandro went to the radio room with the captain. They fought. Everything fell apart.
You think you’re in control now. Because you have me. But you’re
wrong. When the others--
Deck Four. Vilandro sent him to guard a shipping container down
there. Right before he got in the fight with the captain. I don’t
know why... I swear!
What are you waiting for? Help me!
Jaime? What happened to you?
My insurance policy.
He probably got lost somewhere down here. But this is the container...
Empty, huh? What a joke.
Is that a bomb?
Just to be clear, that’s not our bomb... As soon as you and your people
leave the ship.
I told you, it’s not our bomb.
No idea. But it’s going off one way or another.
Don’t trust him, Jaime. He’s a federal. They’ll send us to Guantanamo. You want that?
Smart man wouldn’t be here.
The only thing we wanted was ransom. Then the escape boat comes and we go home...
Yes. And it will be here soon.
What are you saying?
Jaime, listen to him. There’s no boat. No way out... You need to give up.
What are you doing? Defuse it!",1,426,5.98,93.96,44.6,4.1,4.58,11.5,82.63,77.46,61.97,23,16.67,4.23,2.82,6.57,2.11,0.7,6.34,14.55,7.04,1.41,8.92,13.62,7.04,5.63,3.76,25.82,3.52,3.29,5.63,1.64,3.76,0.23,0,0.23,0,0,0,0.23,0.94,0,0,0,0,0,0,0,0,37.09,19.25,2.11,3.76,2.58,7.75,1.64,0
NCIS,Felton,"Trying, Sir... Can’t seem to stop the bleeding. Feeling dizzy.
Petty Officer Felton.
Patricia...
What...
I’ve had better days, Sir.
Shoot him, Sir. I’ll take my chances.",1,27,16.08,40.06,52.89,20.23,3,18.52,62.96,55.56,33.33,18.52,14.81,11.11,0,0,3.7,0,3.7,7.41,3.7,0,3.7,14.81,0,0,3.7,25.93,7.41,3.7,7.41,3.7,3.7,0,0,0,0,0,0,0,7.41,7.41,3.7,0,0,0,0,0,0,77.78,55.56,11.11,0,0,11.11,0,0
FBI,Keisha Grant,"My boys are in there!
I don't see them...
Chris, baby -- where's Emmett?
He's only 7. I told him never to open the door for anyone... Let me go!
If you came over to apologize...
My baby died, that's what happened.
You don't have kids, do you?
So you're right, you can't understand.
You probably think you did me a favor.
Emmett was 7. Small for his age, but so smart --
He would've known something bad was happening...
This doesn't make any sense.
This was a good building. Hardworking people just trying to get up and out.
That's right. Except -- Goddamn Felton Ames.
Scumbag dealer who lived downstairs.
He wouldn't get his hands dirty. Man thinks he's Scarface: fancy suits,
fools with guns taking him around.
We tried to kick him out, but the landlord wouldn't do it. Said he paid his rent in cash...
You should've let me die in there.",1,152,3.72,94.84,21.73,13.22,6.33,11.18,82.24,77.63,57.24,24.34,19.08,4.61,0.66,5.26,7.24,0.66,5.26,9.21,2.63,1.32,10.53,14.47,5.92,3.95,4.61,30.92,5.26,0.66,6.58,2.63,3.29,1.32,0.66,0.66,0,0,0,0.66,2.63,0,0,0,0,0,0,0,1.32,40.79,19.74,4.61,1.32,1.32,9.21,4.61,0
FBI,Wilmar Rivas,"I'm not MS-13.
Do I look like one of those guys with face tattoos and the crazy eyes?
All I do is work. Every day.
Metapan.
My parents died. I have a younger brother -- had to leave him with our little sisters...
Three.
I'm sure it was MS. That's exactly why I stay away from those guys.
I told you --
What the hell are you drawing?",1,66,14.87,58.11,61.28,,6.6,12.12,83.33,77.27,62.12,25.76,18.18,12.12,1.52,3.03,1.52,0,7.58,18.18,4.55,4.55,10.61,15.15,1.52,1.52,1.52,24.24,6.06,9.09,3.03,0,0,1.52,0,0,0,0,0,1.52,4.55,0,0,0,0,0,0,0,1.52,31.82,16.67,0,3.03,0,4.55,7.58,0
FBI,Bernardo Funes,"I'm not dragging this out.
No, you can't. There's no prison, no special unit, where they can't get to me.
I'm gonna die in jail no matter what. If I tell you anything, I'm dead the
day I arrive. Like Wilmer. If I don't talk, you put me away, I
could live inside another 40 years. And that's still better than where I came from.",1,65,1,1,99,20.23,8.13,6.15,92.31,89.23,69.23,29.23,21.54,15.38,0,4.62,0,1.54,7.69,12.31,1.54,1.54,13.85,15.38,6.15,6.15,12.31,27.69,4.62,4.62,3.08,1.54,1.54,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,3.08,33.85,12.31,9.23,0,0,12.31,0,0
FBI,Brick Peters,"Guys were in early, getting ready for a basketball tournament -- and
one of them found it in a gym bag under the bleachers.
I've only been director here for a few months, but -- no friggin' clue.
I grew up down the street, was career Army, just moved back.
I would've preferred Florida, but my mom's had a diner here 40 years. I
took this job to stay close.
She gets robbed all the time, got beat up... 73 year old woman.
I start and end my days there, try to keep an eye on her.
What? She points at one of the players --
Look, I'm not bucking for a Nobel Peace Prize, I just don't deal with
their crap. They can get along or stay out of my gym.
Come on, this tournament was planned way before any bombs were going off.
You kidding? It's hard enough dealing with the black gangs. Closest I've
got is a Mexican kid working as a handyman.
You served?
Yeah, well -- ditto.
They pay you extra for dragging this affirmative action baby around?
I can tell you everything. But -- you have to drop all the charges against me.
I can't leave my mother alone with the animals in the South Bronx.
I'm serious.
Who's she?
What are you talking about?
Ma...
Please, don't do this --
And I passed them to Bernardo, with the bombs. He had runners plant them.
Lawrence had me give it directly to a runner after Bernardo got caught.
He had a list: housing projects the big drug gangs run in the Bronx.
Millbrook. But he might not be bringing down a building this time.
Nothing, I swear. We just -- The only other thing, I told him:
the cellphone battery's cheap, dies fast. It only has enough power to
work as a trigger for about 24 hours. The last bomb's packed with nails.",1,312,53.56,41.95,79.98,24.31,8.91,13.14,77.24,72.76,56.73,17.63,13.46,6.41,0.32,1.92,2.56,1.92,4.17,15.06,8.33,1.6,13.46,8.97,4.49,3.85,2.24,19.23,6.09,4.49,3.53,1.6,1.28,0,0,0,0,0,0,0.64,2.24,0.96,0,0.64,0,0,0,0.32,0.32,27.24,10.58,5.13,1.92,0,4.49,5.13,0
FBI,Emmet Grant,"Emmett Grant at the 20, 15, 10...
It's too late, he's gone! Touchdown!
I'm not a baby. We're gonna eat meatball sandwiches and play Xbox.
It's not gonna be a minute.
Do I get to be the Patriots all night?",1,40,15.41,15.75,45.52,59.44,5.71,10,82.5,67.5,55,15,10,5,2.5,0,2.5,0,5,12.5,10,7.5,10,25,2.5,2.5,5,32.5,0,5,2.5,2.5,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,0,42.5,15,7.5,2.5,5,12.5,0,0
FBI,Chris Grant,"But wait, the big man's on his tail...
Just 'til my mom gets home.
We are. You go get us set, and I'll be up in a minute -- okay, Em?
First game, then we'll see.
So... what're you doing?
Graphing equations? Kind of.",1,43,8.25,99,91.21,,4.78,4.65,79.07,76.74,58.14,20.93,18.6,4.65,6.98,4.65,2.33,0,2.33,11.63,4.65,2.33,11.63,13.95,4.65,11.63,0,25.58,6.98,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.81,23.26,9.3,6.98,0,11.63,4.65,0
FBI,Ginny Hart,"So you're... babysitting?
Going home to work on our algebra,
but -- I don't really get it. Do you?
Can you show me?",1,22,1,96.39,79.84,,4.4,9.09,77.27,72.73,63.64,31.82,27.27,9.09,4.55,13.64,0,0,4.55,4.55,0,0,9.09,13.64,9.09,9.09,4.55,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.55,18.18,4.55,13.64,0,9.09,9.09,0
Death in Paradise,Alexander Jackson,"Where’s your brother and sister?
Funny really. Your mother always used to scold me for spending so much on wine. “All tastes the same after a few glasses”. She was probably right.
She would have been mad at me for buying this lot.
See you at lunch then.
Are you happy with it?
Well then- if you’re happy... I’m happy.
I think I've got it covered. Thanks.
One glass before lunch time. That’s what you always said was on the right side of respectable.
I’m doing the right thing. You’d have agreed with me, wouldn’t you...?
There’s some developments I need to discuss with you after lunch-
This is something that needs to be done.",1,115,5,90.64,22.26,92,6.76,8.7,86.09,82.61,67.83,24.35,16.52,6.96,0,7.83,1.74,0,7.83,13.91,3.48,0.87,13.91,17.39,6.09,6.96,0.87,26.09,7.83,5.22,6.96,6.09,0.87,4.35,3.48,0.87,0,0.87,0,0,4.35,0,0,0,0,0.87,0,4.35,0,31.3,16.52,0.87,2.61,0,7.83,3.48,0
