Show,Character,Dialogue,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Physical,health,illness,wellness,mental,substances,sexual,food,death,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Psych,Marvin,"Oh, well, hello, me buckos. I'm Marvin. Welcome to Shenanigans, home of the
world-famous Blarney Stone fajitas.Ha, ha. Very funny. Please stop. My tummy's aching from
laughing so hard. Do you guys want a table or what?
That's the one.
Whatever floats your boat, man. (stamps GUS) It's for our
nighttime events there. But hey, you can have it in the daytime, too.
We have speed dating here.
Yeah. Don't laugh. It's actually one of our most popular events. Guys come in
here, sign up, they put down 100 bucks and they get fixed up with all sorts of
people on little six-minute mini-dates.
100 bucks.
How about you guys either get a table or I'm going to have to ask you to leave
the podium?
No, but I can say ""police"" if you don't get your butts out of here. (turns to
other customers and speaks in brogue) Hello there! I'm Marvin. Welcome to
Shenanigans. Home of the world-famous Blarney Stone fajitas.
Look, I don't know anything about any crime. I just ... I used the names and
the numbers to get dates, man, that's it.
I don't have 100 bucks to slap down on some entrance fee, not on my crap
salary, so, yeah. And besides, that's why they go there. They go there for dates,
right? So why not me?
Look, okay, come on, all right? All I did was I took some questionnaires
out of the trash. That's it. What's the charge? ""Not littering""?
So if you don't have anything more, I'd like to get to work.
You got it.",1,264,22.52,37.87,86.68,73.53,7.14,9.85,77.27,72.35,58.71,17.42,11.74,5.68,1.14,3.41,0,1.52,5.68,13.26,4.17,1.89,14.02,9.85,8.33,5.68,3.41,19.7,3.41,4.55,4.55,3.79,0.38,2.27,1.89,0.38,0,0,0,0.38,1.52,0.38,0.38,0,0,0,0,0,0,34.85,12.12,8.71,2.65,0.38,6.44,4.55,0
Sherlock,Taxi Driver (Jeff Hope),"Taxi for Sherlock Holmes.
Doesn’t mean you don’t need one.
You see, no one ever thinks about
the cabbie. It’s like we’re invisible. Just the back of a head. Proper advantage for a serial
killer.
Oh, yes. And I’ll tell you what
else - if you go and get the coppers now, I won’t run, I’ll sit quiet and they can take me
down. I promise.
Because you’re not going to do
that.
Am I not?
I didn’t kill those four people,
Mr. Holmes. I spoke to them, and they killed themselves. Go and get the coppers now,
and I promise you this - I will never tell you what I said.
And you won’t ever understand how
those four people died. Which result do you care about?
On Sherlock - agonised. He glances up the windows to his flat - all he has to do is call
out. But ... but ...
Let me take you for a ride.
I’m not going to kill you, Mr.
Holmes. I’m going to talk to you. And you’re going to kill yourself.
Oh, I recognised you - soon as I
saw you chasing my cab. Sherlock Holmes. I was warned about you. I’ve been on your
website too - brilliant stuff, loved it.
There’s someone out there who’s
noticed you.
You’re too modest, Mr. Holmes.
You’ve got yourself a fan!
On Sherlock. What? What?? SHERLOCK
Tell me more.
That’s all your going to know - in
this life time.But this is what you’re really
addicted to, isn’t it? This is the only fix that works. You’ll do anything, anything at
all - not to be bored.
You know exactly where we are, you
know every street in London.
It’s open, the cleaners are in. Thing about being a cabbie, you
always know a quiet spot for a murder. I’m surprised more of us don’t branch out.
It gets better, don’t worry.
Oh, I don’t. It’s much better than
What do you think? It’s up to you.
You’re the one who’s going to die here.
SHERLOCK No, I’m not.
That’s what they all say.
Shall we talk?
Call that a risk. Nah. This is a
risk.
Oh, I like this bit. Cos you don’t get it yet, do you? But you’re about to. I just have to do ... this!
Weren’t expect that, were you. Oh,
you are gonna love this.
SHERLOCK Love what?
Sherlock Holmes! Look at you.
Here in the flesh. That website of yours! Your fan told me about it.
My fan?
SHERLOCK
You are brilliant, you are - you
are a proper genius. “The Science Of Deduction”. That’s proper thinking. Now between
you and me, sitting here, why can’t people think! Doesn’t it drive you mad. Why can’t
people just think??
95.
Don’t look it, do I? Funny little
man, driving a cab. But you’ll know better in a minute. Chances are, it will be the last
thing you ever know.
There’s a good bottle and there’s a
bad bottle. Take a pill from the good bottle, you live. Take a pill from the bad bottle, you
die.
In every way.
Wouldn’t be a game if you knew.
You’re the one who chooses.
I haven’t told you the best bit
yet. Whatever bottle you choose, I take a pill from the other one.
And then together, we take our medicine.
I won’t cheat. It’s your choice.
I’ll take whichever pill you don’t.
Holmes?
This is what you did? To all of
And now I’m giving it to you. Take
a moment. Get yourself together. I want your best game.
I’ve played four times. I’m alive.
It’s not chance, Mr. Holmes. It’s chess. It’s a game of chess, with one move, and one
survivor. And this --
Did I just give you the good
bottle, or the bad bottle? You can choose either one. You’ve got to admit - as serial
killers go, I’m verging on nice.
Are you ready yet, Mr. Holmes?
Ready to play. SHERLOCK
Play what? It’s a 50-50 chance.
You’re not playing the numbers -
you’re playing me. Did I give you the good pill, or the bad pill. Is it bluff, double-bluff,
triple- bluff ...
SHERLOCK It’s still chance.
Four people, in a row. It’s not
chance.
It’s genius. I know how people
think. I know how people think I think. I can see it all like a map in my head. Everyone’s
so stupid. Even you.
Of course - maybe God just loves
me.
Time to play.
Told me what?
So are you.
Aneurism - right in here. Any
breath could be my last.
I’ve outlived four people. That’s
the most fun you can have, with an aneurism.
Oh, you are good, aren’t you? SHERLOCK But how?
When I die, they won’t get much, my
kids. Not a lot of money in driving cabs.
SHERLOCK Or serial killing.
For every life I take, money goes
to my kids. The more I kill, they better off they’ll be. You see? Nicer than you think.
Who’d be a fan of Sherlock Holmes.
On Sherlock. Getting to it now - fascinated.
You’re not the only person who
enjoys a good murder. There’s someone else out there, just like you. Except you’re just a
man. And he’s so much more.
There’s a name that no one says.
I’m not saying it either. Now. Enough chatter. It’s time to choose.
You can take a 50-50 chance, or I
can shoot you through the head. Funnily enough, no one’s ever gone for that option.
Are you sure. SHERLOCK Definitely. The gun.
Don’t want to phone a friend? SHERLOCK The gun.
None of the others.
Before you go, did you figure it
out? Which one’s the good bottle.
Which one, then? Which one would
you have taken. Just so I know if I could have beaten you.
Come on. Play the game
Oh! Interesting!
What do you think? Shall we? 
Really, what do you think? Can you
beat me? Are you clever enough? Are you really sure? Bet your life?
Well? Shall we play? For real, shall we?
You get bored, I know you do - a
man like you, so clever. But what’s the point in being clever if you can’t prove it.
But this is what you’re really
addicted to, isn’t it? This is the only fix that works. You’ll do anything, anything at
all - not to be bored.
You’re not bored now, are you? And
isn’t it good?
... no ...
Moriarty!!!",1,1064,3.06,85.33,67.25,31.9,5.78,7.99,85.43,79.98,65.23,25.75,17.2,5.73,0.85,9.02,0.38,0.75,8.55,14.47,6.02,1.5,9.12,14.94,6.77,4.61,4.32,25.38,5.26,4.23,6.02,3.38,2.54,2.54,1.41,1.03,0.09,0.09,0,0,2.82,0.94,0,0,0.19,0,0,0,1.32,35.9,14.85,5.83,3.67,0.94,8.36,2.26,0
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
